﻿﻿﻿﻿﻿﻿ Rot: 0.9293640122188627  RotPosErr: -0.6027672767639161 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.28988199537811327  DrivePosErr: 0.5748687782287598 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.3192592800365388  RotPosErr: -0.7946953773498535 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.10343191085128717  DrivePosErr: 0.5214035072326659 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.29277001773491523  RotPosErr: -0.6736580848693847 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.19472429626464882  DrivePosErr: 0.48923721694946287 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.886201598526388  RotPosErr: -0.2664177894592285 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.1791238780281068  DrivePosErr: 0.45700912857055664 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.2919569700588286  RotPosErr: -0.18451242446899413 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.2819016183609009  DrivePosErr: 0.44625168228149414 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.0021895614849032  RotPosErr: -0.34821481704711915 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.2772774020591737  DrivePosErr: 0.4354888954162598 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.3089632853282989  RotPosErr: -0.07177591323852539 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.27261854021911636  DrivePosErr: 0.4247184791564942 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.6429367283023895  RotPosErr: 0.24595098495483397 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.5048918097267149  DrivePosErr: 0.45700912857055664 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.05584869636878371  RotPosErr: 0.2254775047302246 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.28507586109466554  DrivePosErr: 0.44625168228149414 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.04692456426277757  RotPosErr: 0.2254775047302246 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.2804516447929384  DrivePosErr: 0.4354888954162598 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.336823144878596  RotPosErr: -0.03076181709766388 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.29322936528930654  DrivePosErr: 0.4278877296447754 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.6835130947454274  RotPosErr: 0.10608053207397461 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.33052785788040173  DrivePosErr: 0.4276191749572754 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.6255604708950222  RotPosErr: -0.19475488662719725 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.31668129767608655  DrivePosErr: 0.4247184791564942 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.5088426047031581  RotPosErr: -0.2664177894592285 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.5096059648887632  DrivePosErr: 0.45700912857055664 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.1773524690155686  RotPosErr: -0.020507146418094636 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.5262878308929442  DrivePosErr: 0.48923721694946287 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.1630208899118006  RotPosErr: -0.04101572334766388 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.3660280159889221  DrivePosErr: 0.48923721694946287 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.1675639175345003  RotPosErr: -0.245949649810791 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.36690864297943115  DrivePosErr: 0.48923721694946287 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.5629828090308606  RotPosErr: -0.11519327163696289 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.3121970464591982  DrivePosErr: 0.4791328468322754 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.5279427691863476  RotPosErr: 0.18451223373413086 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.2418610630371093  DrivePosErr: 0.45700912857055664 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.6379608988974987  RotPosErr: 0.29710683822631834 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.2941169527839661  DrivePosErr: 0.44625168228149414 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.5171059713576736  RotPosErr: 0.37885427474975586 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.23023606030426047  DrivePosErr: 0.4247184791564942 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.7194599098564685  RotPosErr: 0.2254775047302246 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.39792324536972035  DrivePosErr: 0.4354888954162598 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 1.5920608025573197  RotPosErr: 0.5113509178161622 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.404069744857788  DrivePosErr: 0.44625168228149414 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.05367992271646829  RotPosErr: 0.4909995079040527 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.23258768660659812  DrivePosErr: 0.4247184791564942 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.39432307306066144  RotPosErr: 0.38906240463256836 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.22240410217132556  DrivePosErr: 0.4031593360900879 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.6532336309410631  RotPosErr: 0.06152410507202148 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.15273572174606298  DrivePosErr: 0.3707717933654785 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.9016271110321581  RotPosErr: -0.1025315284729004 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.1963825329711914  DrivePosErr: 0.349150089263916 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.139987611849159  RotPosErr: -0.06152276992797852 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.18601851564407373  DrivePosErr: 0.3275024452209473 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.8955073915268482  RotPosErr: -0.21523828506469728 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.294846240260315  DrivePosErr: 0.3275024452209473 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.5619189737297594  RotPosErr: -0.48081674575805666 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.3550072363609313  DrivePosErr: 0.33833008193969727 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.2348921404053271  RotPosErr: -0.48081674575805666 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.5393946301666259  DrivePosErr: 0.38157349014282227 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.315026356279701  RotPosErr: -0.37885370254516604 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.4426254286659242  DrivePosErr: 0.4031593360900879 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.35661548422083283  RotPosErr: -0.27664957046508787 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.3354218857345581  DrivePosErr: 0.4031593360900879 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.7856476938270032  RotPosErr: -0.1025315284729004 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.33614757253952027  DrivePosErr: 0.4031593360900879 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 2.1288806422637405  RotPosErr: 0.30733327865600585 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.3961970961669923  DrivePosErr: 0.41394195938110356 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.46645192322000867  RotPosErr: 0.37885427474975586 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.28370523841629014  DrivePosErr: 0.4031593360900879 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.9351134318374095  RotPosErr: 0.5316893577575683 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.3383440416763306  DrivePosErr: 0.4031593360900879 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.22680242260202776  RotPosErr: 0.5418540000915527 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.16087994591903665  DrivePosErr: 0.3707717933654785 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.20776379750981927  RotPosErr: 0.47063360214233396 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.08542574914855983  DrivePosErr: 0.3275024452209473 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -0.7329303546883166  RotPosErr: 0.30733327865600585 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.24276531733169543  DrivePosErr: 0.3166702308654785 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -2.119233951966911  RotPosErr: -0.10056009292602539 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.23557008372650134  DrivePosErr: 0.30541458511352537 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.25277658352062105  RotPosErr: -0.03896494209766388 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.27083949184494055  DrivePosErr: 0.30149612808227544 ﻿
﻿﻿﻿﻿﻿﻿ Rot: -1.946422689703256  RotPosErr: -0.38906183242797854 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.19547203350830034  DrivePosErr: 0.28413772964477535 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.4658600419585409  RotPosErr: -0.2664177894592285 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.46176278882522603  DrivePosErr: 0.3166702308654785 ﻿
﻿﻿﻿﻿﻿﻿ Rot: 0.2392689436118305  RotPosErr: -0.19475488662719725 ﻿
﻿﻿﻿﻿﻿﻿ Drive: 0.3592669660781862  DrivePosErr: 0.3275024452209473 ﻿
﻿﻿﻿﻿﻿﻿ PIDDriveToTarget Ending... ﻿
